county,total,utility,cs,dg_large,dg_small,pl_total,pl_utility,pl_cs,pl_dg_large,pl_dg_small
COOK,176404,17900,4000,45347,109157,160726,6000,0,133269,21457
MADISON,29689,2000,8000,6963,12726,57255,2000,0,51505,3750
BOND,3328,0,0,1490,1838,488,0,0,183,305
MONTGOMERY,5024,0,0,1458,3566,6045,0,0,5550,495
SCOTT,373,0,0,0,373,29,0,0,0,29
KNOX,18939,6000,4000,6485,2454,11220,0,0,10148,1072
MACOUPIN,15171,4000,4000,3255,3916,1024,0,0,175,849
CLINTON,17886,8000,4000,2242,3644,15791,0,0,14301,1490
HENRY,11296,1200,0,5678,4418,88231,70000,0,17375,856
SANGAMON,11959,0,0,4127,7832,605062,592800,0,10615,1647
BROWN,385,0,0,0,385,24,0,0,0,24
FAYETTE,103900,100800,0,1822,1278,33407,0,0,33200,207
LAKE,59728,0,0,25685,34043,44568,7000,0,32524,5044
EFFINGHAM,2977,0,0,1135,1842,2607,0,0,2040,567
PEORIA,35547,8000,5950,7763,13834,35840,0,0,32171,3669
MACON,5088,0,0,2256,2832,22860,0,0,21880,980
SHELBY,771,0,0,0,771,140,0,0,0,140
MORGAN,49826,38000,7750,2124,1952,5642,0,0,5000,642
ST. CLAIR,43750,11700,5000,14211,12839,23147,2000,0,16411,4736
MCHENRY,58962,13400,11850,14705,19007,80726,12000,0,66176,2550
KANE,46224,7300,4850,10174,23900,55435,4300,0,47187,3948
CHRISTIAN,5491,1500,0,2007,1984,262477,255000,0,6677,800
JERSEY,3773,0,0,2567,1206,112388,110000,0,2032,356
PIATT,3106,0,0,1124,1982,7514,0,0,7090,424
BUREAU,24642,20000,0,2381,2261,5881,0,0,5417,464
CASS,2608,0,0,2025,583,12239,0,0,11998,241
STARK,1927,0,0,689,1238,4440,0,0,4188,252
MARION,2025,0,0,780,1245,103925,99000,0,4607,318
WASHINGTON,2961,0,0,1656,1305,2618,0,0,2311,307
RANDOLPH,3109,0,0,1321,1788,9339,4000,0,4963,376
TAZEWELL,25292,0,5800,2646,16846,23266,0,0,19018,4248
MONROE,3028,0,0,984,2044,1279,0,0,660,619
CHAMPAIGN,59791,24200,2000,17842,15749,184116,150000,0,29818,4298
PERRY,101278,99000,0,802,1476,63406,50000,0,13000,406
WILL,90711,18400,13800,17629,40882,97465,12000,0,78552,6913
JEFFERSON,6385,2000,2000,1242,1143,2528,0,0,2340,188
DUPAGE,50967,0,0,19086,31881,42204,0,0,36539,5665
FULTON,6750,0,2000,2137,2613,6704,0,0,6084,620
WABASH,530,0,0,168,362,45,0,0,0,45
WOODFORD,9139,0,0,3546,5593,35215,0,0,33910,1305
IROQUOIS,5837,2000,2000,930,907,7698,0,0,7470,228
WILLIAMSON,26631,9300,8650,4127,4554,17772,2000,0,14444,1328
MCLEAN,18914,6000,2000,2504,8410,24561,10000,0,12807,1754
JACKSON,7554,0,0,4270,3284,2028,0,0,1356,672
MASON,1592,0,0,579,1013,51581,50000,0,1300,281
FORD,2612,0,0,1140,1472,6112,0,0,5899,213
GALLATIN,730,0,0,427,303,2770,0,0,2700,70
EDGAR,1972,0,0,931,1041,8449,0,0,8351,98
LIVINGSTON,14433,2000,7980,1420,3033,94180,6900,0,86702,578
CARROLL,5275,1500,0,705,3070,2893,0,0,2112,781
JASPER,261,0,0,0,261,52315,52000,0,300,15
CLAY,4305,2000,1980,0,325,377079,375000,0,2062,17
WHITESIDE,53809,26000,17950,7012,2847,36195,0,0,35263,932
HANCOCK,3764,0,0,733,3031,27829,0,0,27239,590
DEKALB,62843,22000,29900,3889,7054,563844,504900,0,57784,1160
LOGAN,77053,70000,2000,3341,1712,14584,0,0,13833,751
SALINE,3593,0,0,1876,1717,150300,150000,0,33,267
KENDALL,18808,0,0,5623,13185,23482,0,0,21678,1804
HENDERSON,4216,1400,0,2093,723,232,0,0,70,162
BOONE,29847,4000,17980,1245,6622,19031,12500,0,5500,1031
VERMILION,21433,7600,6000,5421,2412,17294,0,0,16355,939
MENARD,1069,0,0,0,1069,307,0,0,120,187
MARSHALL,9205,2000,5592,515,1098,49069,35000,0,13550,519
FRANKLIN,5971,2000,2000,612,1359,1492,0,0,945,547
STEPHENSON,162012,128000,23980,3640,6392,68287,17000,0,50106,1181
WARREN,37172,35000,0,1213,959,706,0,0,328,378
GRUNDY,17358,2900,10000,1069,3389,22582,7000,0,14824,758
WINNEBAGO,57786,15900,8860,13108,19918,68779,7900,0,57109,3770
LEE,8085,0,1950,3371,2764,1213393,1200000,0,12455,938
DOUGLAS,10568,0,0,9156,1412,6313,0,0,6052,261
OGLE,25240,8300,8000,1334,7606,28379,1500,0,25682,1197
CRAWFORD,448,0,0,67,381,10255,0,0,10130,125
LASALLE,52984,30000,18000,1535,3449,27333,5000,0,21304,1029
CUMBERLAND,617,0,0,270,347,14040,0,0,13991,49
WAYNE,280,0,0,40,240,48,0,0,0,48
RICHLAND,4768,2000,2000,246,522,85,0,0,0,85
ALEXANDER,43,0,0,43,0,10,0,0,0,10
GREENE,1946,0,0,1340,606,709,0,0,650,59
JO DAVIESS,15994,5000,3012,2946,5036,4856,0,0,4000,856
CLARK,165936,165300,0,411,225,71,0,0,0,71
