house_district,legislator,party,total,utility,cs,dg_large,dg_small,pl_total,pl_utility,pl_cs,pl_dg_large,pl_dg_small
57,Jonathan Carroll,Democratic,7653,0,0,4701,2952,3387,0,0,2972,415
109,Charles E. Meier,Republican,28042,4000,6000,7659,10383,34328,0,0,31127,3201
100,C.D. Davidsmeyer,Republican,25747,6000,5750,6610,7387,115785,110000,0,3872,1913
108,Wayne Arthur Rosenthal,Republican,19733,2000,2000,5219,10514,601537,592800,0,6854,1883
7,Emanuel Welch,Democratic,4678,0,0,1417,3261,2545,0,0,1850,695
93,Travis Weaver,Republican,40477,10000,5950,8221,16306,123937,70000,0,49930,4007
95,Mike Coffey,Republican,7082,0,0,2958,4124,1383,0,0,660,723
110,Blaine Wilhour,Republican,125137,108800,7980,3553,4804,520693,474000,0,45869,824
36,Kelly M. Burke,Democratic,3368,0,0,500,2868,1997,0,0,1487,510
99,Randy Frese,Republican,51530,35500,4000,6907,5123,172714,140000,0,30721,1993
58,Bob Morgan,Democratic,3349,0,0,1187,2162,5178,0,0,4833,345
107,Brad Halbrook,Republican,8367,1500,0,3054,3813,263754,255000,0,7400,1354
73,Ryan Spain,Republican,48379,17200,13950,7628,9601,40114,0,0,37996,2118
96,Sue Scherer,Democratic,2094,0,0,649,1445,11360,0,0,10868,492
114,Kevin Schmidt,Republican,22579,1800,5000,9737,6042,9695,0,0,7492,2203
112,Katie Stuart,Democratic,11549,2000,2000,2734,4815,6815,0,0,4804,2011
63,Steven Reick,Republican,18535,4000,3950,3365,7220,43909,2000,0,40913,996
113,Jay C. Hoffman,Democratic,17062,9900,0,3087,4075,11045,2000,0,7806,1239
83,Matt Hanson,Democratic,7974,0,0,2401,5573,8044,0,0,7228,816
88,Dan Caulkins,Republican,18641,4000,2000,4716,7925,34269,0,0,32355,1914
111,Amy Elik,Republican,5613,0,0,2441,3172,29588,2000,0,26467,1121
115,David Friess,Republican,109289,99000,0,3248,7041,74543,54000,0,18729,1814
91,Sharon Chung,Democratic,9921,0,0,1827,8094,15795,0,0,13579,2216
59,Daniel Didech,Democratic,4866,0,0,1998,2868,3314,0,0,2689,625
101,Chris Miller,Republican,31506,2000,2000,18826,8680,288223,249000,0,37140,2083
61,Joyce Mason,Democratic,12447,0,0,4675,7772,8160,0,0,6982,1178
18,Robyn Gabel,Democratic,2779,0,0,1039,1740,1238,0,0,1000,238
65,Dan Ugaste,Republican,8341,0,0,4058,4283,15154,4300,0,9875,979
104,Mike Marron,Republican,44422,22000,2000,13069,7353,32574,0,0,30175,2399
82,John Egofske,Republican,5351,0,0,2089,3262,1564,0,0,943,621
16,Kevin Olickal,Democratic,2797,0,0,494,2303,2846,0,0,2539,307
54,Mary Beth Canty,Democratic,6858,1100,0,3165,2593,910,0,0,538,372
17,Jennifer Gong-Gershowitz,Democratic,5583,0,0,1705,3878,2427,0,0,1898,529
97,Harry Benton,Democratic,12716,0,0,1072,11644,3686,0,0,1620,2066
116,Dave Severin,Republican,158467,151000,2000,2456,3011,8456,0,0,7809,647
51,Nabeela Syed,Democratic,11177,0,0,4659,6518,5840,0,0,4768,1072
78,Camille Y. Lilly,Democratic,3785,0,0,317,3468,749,0,0,280,469
