senate_district,legislator,party,total,utility,cs,dg_large,dg_small,pl_total,pl_utility,pl_cs,pl_dg_large,pl_dg_small
29,Julie Morrison,Democratic,10373,0,0,5850,4523,17647,0,0,12022,5625
55,Jason Plummer,Republican,146192,108800,13980,10480,12932,358215,250000,0,92548,15667
50,Jil Tracy,Republican,74311,41500,9750,12967,10094,186380,140000,0,34004,12376
54,Steve McClure,Republican,25925,3500,2000,8014,12411,880253,842800,0,23352,14101
4,Kimberly Lightford,Democratic,5150,0,0,1054,4096,8164,0,0,3244,4920
47,Neil Anderson,Republican,62402,11400,11950,16954,22098,206990,50000,0,129208,27782
48,Doris Turner,Democratic,8264,0,0,3607,4657,10725,0,0,5249,5476
18,Bill Cunningham,Democratic,5420,0,0,699,4721,7619,0,0,1990,5629
37,Win Stoller,Republican,91514,26500,31900,18615,14499,1832018,1700000,0,112414,19604
57,Christopher Belt,Democratic,33488,11700,0,13850,7938,40144,0,0,30181,9963
56,Erica Harriss,Republican,16239,2000,2000,6088,6151,30787,2000,0,21109,7678
32,Craig Wilcox,Republican,29266,4000,3950,7447,13869,49945,2000,0,32003,15942
42,Linda Holmes,Democratic,12123,0,0,2734,9389,15800,0,0,4339,11461
44,Sally Turner,Republican,107831,74000,7800,11123,14908,83791,0,0,65828,17963
58,Terri Bryant,Republican,266255,250000,2000,5518,8737,80216,50000,0,19952,10264
46,David Koehler,Democratic,12486,0,0,4323,8163,20583,0,0,10719,9864
30,Adriane Johnson,Democratic,8092,0,0,2930,5162,18738,7000,0,5652,6086
51,Chapin Rose,Republican,404914,371300,6000,17287,10327,303520,202000,0,88953,12567
31,Mary Edly-Allen,Democratic,21492,0,0,9998,11494,28588,0,0,15282,13306
9,Laura Fine,Democratic,7810,0,0,2694,5116,10208,0,0,4174,6034
33,Don DeWitte,Republican,13355,0,900,2753,9702,28440,0,0,17062,11378
52,Paul Faraci,Democratic,54730,25800,2000,18745,8185,56961,0,0,47172,9789
41,John Curran,Republican,10094,0,0,3847,6247,15025,0,0,7475,7550
8,Ram Villivalam,Democratic,5527,0,0,527,5000,9966,0,0,4066,5900
27,Ann Gillespie,Democratic,9172,1100,0,3365,4707,9544,0,0,4081,5463
49,Meg Loughran Cappel,Democratic,23747,1900,0,3212,18635,28305,0,0,6027,22278
26,Dan McConchie,Republican,17449,0,0,5327,12122,23792,0,0,9831,13961
39,Don Harmon,Democratic,10893,1900,0,3211,5782,59175,0,0,52472,6703
14,Emil Jones,Democratic,17854,9000,0,2893,5961,13633,0,0,5984,7649
25,Karina Villa,Democratic,19127,2000,0,6474,10653,28460,0,0,15880,12580
2,Omar Aquino,Democratic,2977,0,0,849,2128,5581,0,0,2995,2586
10,Robert Martwick,Democratic,4653,0,0,761,3892,6174,0,0,1657,4517
24,Seth Lewis,Republican,10761,0,0,3669,7092,15223,0,0,7043,8180
35,Dave Syverson,Republican,80296,25400,25800,12858,16238,107120,2000,0,86257,18863
19,Michael Hastings,Democratic,16636,2000,0,5565,9071,17690,0,0,6593,11097
53,Thomas Bennett,Republican,79417,32900,27564,6956,11997,228962,37000,0,176911,15051
59,Dale Fowler,Republican,41874,11300,10650,10221,9703,40153,0,0,29334,10819
3,Mattie Hunter,Democratic,746,0,0,0,746,1163,0,0,40,1123
45,Andrew Chesney,Republican,221961,137000,40922,14091,29948,228003,16500,0,174701,36802
7,Mike Simmons,Democratic,1232,0,0,43,1189,1527,0,0,93,1434
23,Suzanne Glowiak Hilton,Democratic,11248,0,0,4987,6261,24198,0,0,16598,7600
,,,581,0,0,225,356,846,0,0,212,634
36,Michael Halpin,Democratic,19439,2000,4000,10637,2802,56721,35000,0,18122,3599
1,Javier Loera Cervantes,Democratic,8638,1000,0,3401,4237,17297,0,0,12122,5175
21,Laura Ellman,Democratic,8324,1000,0,2499,4825,8632,0,0,2591,6041
22,Cristina Castro,Democratic,9408,1300,0,713,7395,11046,0,0,2190,8856
40,Patrick Joyce,Democratic,47933,17000,13500,11289,6144,82346,0,0,74357,7989
34,Steve Stadelman,Democratic,36942,12400,6860,7602,10080,44211,0,0,32397,11814
11,Mike Porfirio,Democratic,11102,1500,0,4150,5452,21987,0,0,15339,6648
17,"Elgie R. Sims, Jr.",Democratic,24106,8000,8000,2300,5806,49930,4000,0,38350,7580
43,Rachel Ventura,Democratic,24643,4000,3850,7238,9555,37161,0,0,26123,11038
38,Sue Rezin,Republican,38139,20000,0,7722,10417,48850,0,0,36498,12352
20,Cristina Pacione-Zayas,Democratic,2245,0,0,335,1910,3528,0,0,1274,2254
28,Laura Murphy,Democratic,6943,0,0,1409,5534,17564,0,0,11112,6452
16,Willie Preston,Democratic,3866,0,0,195,3671,8192,0,0,3263,4929
5,Patricia Van Pelt,Democratic,1712,0,0,1189,523,1775,0,0,1096,679
12,Celina Villanueva,Democratic,8007,1400,0,5555,1052,11951,0,0,10715,1236
15,Napoleon Harris,Democratic,29171,8000,11950,1216,8005,61427,4000,0,47311,10116
13,Robert Peters,Democratic,864,0,0,0,864,1128,0,0,0,1128
6,Sara Feigenholtz,Democratic,954,0,0,73,881,1065,0,0,73,992
