senate_district,legislator,party,date_assumed_office,dg_small_kw,dg_small_count,dg_large_kw,dg_large_count,cs_kw,cs_count,utility_kw,utility_count,total_kw,total_count,planned_dg_small_kw,planned_dg_small_count,planned_dg_large_kw,planned_dg_large_count,planned_cs_kw,planned_cs_count,planned_utility_kw,planned_utility_count,planned_total_kw,planned_total_count,future_dg_small_kw,future_dg_small_count,future_dg_large_kw,future_dg_large_count,future_cs_kw,future_cs_count,future_utility_kw,future_utility_count,future_total_kw,future_total_count
29,Julie Morrison,Democratic ,2013,6652,800,9416,30,0,0,0,0,16068,830,849,75,7112,5,0,0,0,0,7961,80,7501,875,16528,35,0,0,0,0,24029,910
55,Jason Plummer,Republican ,"January 11, 2023",21834,1985,21225,130,17980,9,371800,14,432839,2138,3160,320,82068,51,0,0,279000,4,364228,375,24994,2305,103293,181,17980,9,650800,18,797067,2513
50,Jil Tracy,Republican ,"January 11, 2023",18334,1877,17854,70,9750,5,441500,10,487438,1962,3426,369,37557,20,0,0,148500,3,189483,392,21760,2246,55411,90,9750,5,590000,13,676921,2354
54,Steve McClure,Republican ,"January 11, 2023",20156,2074,12426,62,6999,2,646600,6,686181,2144,3342,354,40394,17,0,0,255000,2,298736,373,23498,2428,52820,79,6999,2,901600,8,984917,2517
4,Kimberly Lightford,Democratic ,1998,6047,967,2415,16,0,0,0,0,8462,983,898,100,2690,6,0,0,0,0,3588,106,6945,1067,5105,22,0,0,0,0,12050,1089
47,Neil Anderson,Republican ,"January 11, 2023",39765,3964,22455,221,17950,9,72400,11,152570,4205,5031,507,113488,61,0,0,154900,2,273419,570,44796,4471,135943,282,17950,9,227300,13,425989,4775
48,Doris Turner,Democratic ,"February 6, 2021",7438,791,4477,19,0,0,0,0,11915,810,858,99,13226,8,0,0,0,0,14084,107,8296,890,17703,27,0,0,0,0,25999,917
18,Bill Cunningham,Democratic ,2013,7398,1071,829,7,0,0,0,0,8227,1078,1237,124,2640,7,0,0,0,0,3877,131,8635,1195,3469,14,0,0,0,0,12104,1209
37,Li Arellano Jr.,Republican ,"January 8, 2025",25367,2545,27038,135,40899,19,59300,27,152604,2726,3479,317,93212,39,0,0,1722200,8,1818891,364,28846,2862,120250,174,40899,19,1781500,35,1971495,3090
57,Christopher Belt,Democratic ,"January 9, 2019",15548,1556,18924,61,11000,6,18700,4,64172,1627,2144,228,10031,15,0,0,0,0,12175,243,17692,1784,28955,76,11000,6,18700,4,76347,1870
56,Erica Harriss,Republican ,"January 11, 2023",13081,1404,15519,48,3946,2,4000,2,36546,1456,2464,280,26229,26,0,0,7500,2,36193,308,15545,1684,41748,74,3946,2,11500,4,72739,1764
32,Craig Wilcox,Republican ,"October 1, 2018",18294,2430,10594,22,11950,6,12000,7,52838,2465,1993,193,64536,22,0,0,2000,1,68529,216,20287,2623,75130,44,11950,6,14000,8,121367,2681
42,Linda Holmes,Democratic ,2007,14273,2039,3544,11,0,0,0,0,17817,2050,1997,197,8773,10,0,0,0,0,10770,207,16270,2236,12317,21,0,0,0,0,28587,2257
44,Sally Turner,Republican ,"January 25, 2021",27739,2825,13753,65,11799,7,76000,4,129291,2901,4298,429,100944,44,0,0,16000,5,121242,478,32037,3254,114697,109,11799,7,92000,9,250533,3379
58,Terri Bryant,Republican ,"January 13, 2021",14191,1307,9977,66,6000,3,522400,8,552568,1384,2531,230,33733,30,0,0,155000,2,191264,262,16722,1537,43710,96,6000,3,677400,10,743832,1646
46,David Koehler,Democratic ,2006,17494,2081,8049,46,0,0,3200,3,28743,2130,2446,268,9961,9,0,0,0,0,12407,277,19940,2349,18010,55,0,0,3200,3,41150,2407
