place,total,utility,cs,dg_large,dg_small,pl_total,pl_utility,pl_cs,pl_dg_large,pl_dg_small
Glencoe village,124,0,0,0,124,0,0,0,0,0
,3849120,2994800,343618,212200,298502,4192744,3159400,0,998838,34506
Westchester village,786,0,0,0,786,84,0,0,0,84
Curran village,801,0,0,0,801,44,0,0,0,44
Palos Hills city,237,0,0,0,237,40,0,0,0,40
Mount Sterling city,120,0,0,0,120,21,0,0,0,21
Deerfield village,488,0,0,34,454,1280,0,0,1250,30
Peoria city,9734,0,0,4422,5312,2205,0,0,1612,593
Decatur city,741,0,0,103,638,4870,0,0,4780,90
Greenville city,1976,0,0,1598,378,65,0,0,0,65
Scott AFB CDP,4812,0,0,4203,609,741,0,0,688,53
Edwardsville city,8274,2000,3946,1267,1061,284,0,0,106,178
Woodstock city,982,0,0,0,982,4982,0,0,4950,32
Swansea village,1458,0,0,72,1386,489,0,0,211,278
Geneva city,358,0,0,48,310,59,0,0,0,59
Kincaid village,440,0,0,0,440,431,0,0,350,81
Bannockburn village,329,0,0,133,196,0,0,0,0,0
Coffeen city,44993,44200,0,0,793,38,0,0,0,38
Wood River city,879,0,0,449,430,51,0,0,0,51
Galva city,1019,0,0,713,306,8902,0,0,8875,27
Springfield city,3164,0,0,788,2376,794,0,0,537,257
East Peoria city,2579,0,0,696,1883,6139,1000,0,4999,140
Jacksonville city,2782,0,0,1914,868,242,0,0,100,142
Vernon Hills village,3669,0,0,2164,1505,810,0,0,688,122
Wadsworth village,1414,0,0,434,980,5039,0,0,4990,49
Wilmette village,704,0,0,0,704,65,0,0,0,65
Buffalo Grove village,1937,0,0,0,1937,208,0,0,0,208
St. Charles city,2967,0,0,2744,223,655,0,0,625,30
Beach Park village,1073,0,0,0,1073,30,0,0,0,30
Lemont village,751,0,0,300,451,43,0,0,0,43
Lincolnwood village,949,0,0,248,701,977,0,0,935,42
Arlington Heights village,6906,1100,0,3403,2403,2122,0,0,1780,342
Skokie village,3507,0,0,265,3242,1941,0,0,1749,192
Aurora city,11207,0,0,2003,9204,6927,1900,0,4030,997
Plainfield village,4691,0,1620,532,2539,216,0,0,0,216
Oak Park village,2730,0,0,200,2530,215,0,0,0,215
Burr Ridge village,2079,0,0,1470,609,166,0,0,0,166
Crestwood village,583,0,0,502,81,912,0,0,900,12
Fairview Heights city,602,0,0,0,602,897,0,0,760,137
Taylorville city,11281,5000,4999,522,760,156,0,0,0,156
Chicago city,61040,12400,0,11790,36850,53765,13800,0,35456,4509
Carol Stream village,2759,0,0,647,2112,2071,0,0,1882,189
Forsyth village,356,0,0,0,356,746,0,0,688,58
Huntley village,2387,0,0,1250,1137,2808,0,0,2750,58
Godfrey village,2706,0,0,1152,1554,533,0,0,222,311
Forest Park village,615,0,0,67,548,54,0,0,0,54
Kewanee city,700,0,0,451,249,42,0,0,0,42
New Lenox village,2038,0,0,880,1158,893,0,0,800,93
Mettawa village,541,0,0,134,407,5104,0,0,5060,44
Caseyville village,618,0,0,0,618,103,0,0,0,103
Algonquin village,5536,1500,0,2160,1876,79,0,0,0,79
Gages Lake CDP,3371,0,0,2580,791,70,0,0,0,70
Paris city,1428,0,0,1011,417,2028,0,0,2000,28
Herrin city,8819,4000,4000,53,766,108,0,0,0,108
Glenview village,3125,0,0,1733,1392,1561,0,0,1398,163
Marquette Heights city,762,0,0,0,762,113,0,0,0,113
Bloomingdale village,967,0,0,100,867,106,0,0,0,106
Flora city,127,0,0,0,127,4,0,0,0,4
Zion city,2410,0,0,0,2410,119,0,0,0,119
Elburn village,624,0,0,33,591,5104,0,0,5090,14
Sycamore city,1261,0,0,600,661,33,0,0,0,33
Galesburg city,4416,0,2000,1771,645,3297,0,0,3055,242
Lake Zurich village,4509,0,0,3417,1092,77,0,0,0,77
Grayslake village,5919,0,0,3689,2230,7327,0,0,7125,202
Marion city,1122,0,0,424,698,1929,0,0,1832,97
Gurnee village,4229,0,0,2381,1848,123,0,0,0,123
Germantown Hills village,1941,0,0,600,1341,436,0,0,360,76
Brookfield village,1678,0,0,985,693,24,0,0,0,24
Granite City city,6506,2000,0,3339,1167,8312,0,0,8000,312
Pontoon Beach village,784,0,0,448,336,729,0,0,640,89
Downers Grove village,3578,0,0,1593,1985,316,0,0,162,154
Farmington city,363,0,0,182,181,82,0,0,42,40
Glen Ellyn village,664,0,0,0,664,57,0,0,0,57
Petersburg city,224,0,0,0,224,17,0,0,0,17
West City village,1388,0,0,1281,107,56,0,0,48,8
Hinsdale village,608,0,0,225,383,41,0,0,0,41
Bartonville village,744,0,0,81,663,2109,0,0,2035,74
Mount Prospect village,1194,0,0,0,1194,175,0,0,0,175
Elgin city,4922,0,0,615,4307,1598,0,0,1130,468
Antioch village,686,0,0,0,686,4689,0,0,4625,64
Streamwood village,2249,0,0,43,2206,572,0,0,300,272
Collinsville city,1064,0,0,720,344,599,0,0,540,59
Urbana city,2431,0,0,95,2336,1018,0,0,805,213
Savoy village,1104,0,0,150,954,100,0,0,0,100
Evanston city,3043,0,0,1039,2004,1236,0,0,1085,151
Channahon village,2256,0,0,28,2228,2300,0,0,2200,100
Crystal Lake city,3039,0,0,920,2119,412,0,0,300,112
Washington city,1434,0,0,179,1255,251,0,0,170,81
Inverness village,478,0,0,0,478,56,0,0,0,56
Canton city,1313,0,0,351,962,176,0,0,45,131
Cahokia village,4551,1800,0,2620,131,16,0,0,0,16
Rockford city,18835,4000,0,7527,7308,39497,4600,0,34113,784
Metamora village,1132,0,0,120,1012,5079,0,0,5000,79
Champaign city,7739,0,0,2331,5408,6072,0,0,5475,597
Tuscola city,549,0,0,0,549,60,0,0,0,60
Joliet city,20056,8900,1850,1831,7475,20578,4000,0,15990,588
Lake in the Hills village,1380,0,0,0,1380,791,0,0,750,41
Chicago Heights city,2372,0,0,1231,1141,1581,0,0,1465,116
Rome CDP,562,0,0,0,562,43,0,0,0,43
Cortland town,7169,2000,4000,506,663,5008,0,0,4990,18
Naperville city,6767,1000,0,1251,4516,1501,0,0,740,761
Westmont village,987,0,0,300,687,58,0,0,0,58
Bolingbrook village,12575,1900,0,2139,8536,7115,0,0,6386,729
Hawthorn Woods village,2401,0,0,1560,841,43,0,0,0,43
Elk Grove Village village,3384,0,0,1876,1508,8437,3100,0,5244,93
Cicero town,2417,0,0,319,2098,4006,1900,0,1920,186
Carbondale city,800,0,0,200,600,19,0,0,0,19
Highland Park city,2023,0,0,988,1035,1049,0,0,912,137
North Aurora village,1405,0,0,310,1095,433,0,0,360,73
Des Plaines city,2749,0,0,237,2512,6933,3000,0,3662,271
Waukegan city,5243,0,0,2050,3193,8756,7000,0,1505,251
Campton Hills village,1249,0,0,230,1019,279,0,0,0,279
Wayne village,367,0,0,0,367,52,0,0,0,52
Spring Grove village,183,0,0,0,183,10,0,0,0,10
West Chicago city,1365,0,0,600,765,154,0,0,62,92
Justice village,222,0,0,0,222,27,0,0,0,27
Crest Hill city,959,0,0,231,728,40,0,0,0,40
Palos Park village,487,0,0,0,487,327,0,0,240,87
Barrington Hills village,1696,0,0,483,1213,44,0,0,0,44
Lockport city,1171,0,0,0,1171,105,0,0,0,105
Roselle village,1002,0,0,334,668,80,0,0,0,80
Harwood Heights village,250,0,0,0,250,8,0,0,0,8
Oswego village,3291,0,0,300,2991,1192,0,0,998,194
Northfield village,2487,0,0,2169,318,103,0,0,69,34
Deer Park village,387,0,0,0,387,8,0,0,0,8
Northlake city,1395,0,0,700,695,11698,7100,0,4560,38
Hanover Park village,2248,0,0,625,1623,337,0,0,186,151
Romeoville village,8495,0,0,5150,3345,9160,3200,0,5760,200
Harrisburg city,1513,0,0,991,522,123,0,0,105,18
Eldorado city,1072,0,0,935,137,61,0,0,40,21
White Hall city,116,0,0,0,116,9,0,0,0,9
Hillside village,525,0,0,195,330,588,0,0,500,88
Hampshire village,983,0,0,300,683,5143,0,0,5070,73
Olney city,269,0,0,60,209,45,0,0,0,45
Lombard village,1542,0,0,80,1462,216,0,0,34,182
Wheaton city,1551,0,0,510,1041,1145,0,0,1045,100
Addison village,3165,0,0,1955,1210,270,0,0,150,120
Normal town,2801,0,0,859,1942,177,0,0,0,177
Orland Park village,2522,0,0,420,2102,1101,0,0,812,289
