place,dg_small_kw,dg_small_count,dg_large_kw,dg_large_count,cs_kw,cs_count,utility_kw,utility_count,total_kw,total_count,planned_dg_small_kw,planned_dg_small_count,planned_dg_large_kw,planned_dg_large_count,planned_cs_kw,planned_cs_count,planned_utility_kw,planned_utility_count,planned_total_kw,planned_total_count
Glencoe village,96,14,0,0,0,0,0,0,96,14,114,16,0,0,0,0,0,0,114,16
,209308,23035,167313,695,211984,109,1162200,115,1750805,23954,249267,26597,1233273,1239,0,0,3294300,18,4776840,27854
Westchester village,659,116,0,0,0,0,0,0,659,116,740,130,0,0,0,0,0,0,740,130
Curran village,567,56,0,0,0,0,0,0,567,56,695,66,0,0,0,0,0,0,695,66
Palos Hills city,141,22,0,0,0,0,0,0,141,22,197,31,1320,1,0,0,0,0,1517,32
Mount Sterling city,104,11,0,0,0,0,0,0,104,11,104,11,0,0,0,0,0,0,104,11
Deerfield village,339,36,0,0,0,0,0,0,339,36,433,43,0,0,0,0,0,0,433,43
Peoria city,2777,354,4200,16,0,0,0,0,6977,370,3197,405,4550,18,0,0,0,0,7747,423
Decatur city,278,34,103,2,0,0,0,0,381,36,338,44,4883,5,0,0,0,0,5221,49
Greenville city,224,23,1415,4,0,0,0,0,1639,27,252,26,1491,4,0,0,0,0,1743,30
Scott AFB CDP,307,36,4203,6,0,0,0,0,4510,42,366,40,4289,6,0,0,0,0,4655,46
Edwardsville city,654,74,749,5,2000,1,2000,1,5403,81,779,87,4825,8,0,0,0,0,5604,95
Woodstock city,738,117,0,0,0,0,0,0,738,117,791,124,4950,1,0,0,0,0,5741,125
Swansea village,858,92,72,1,0,0,0,0,930,93,990,103,72,1,0,0,0,0,1062,104
Geneva city,200,24,48,1,0,0,0,0,248,25,259,30,48,1,0,0,0,0,307,31
Kincaid village,248,23,0,0,0,0,0,0,248,23,267,26,150,1,0,0,0,0,417,27
Bannockburn village,157,21,0,0,0,0,0,0,157,21,174,23,133,1,0,0,0,0,307,24
Coffeen city,538,55,0,0,0,0,0,0,538,55,567,57,0,0,0,0,0,0,567,57
Wood River city,228,29,264,2,0,0,0,0,492,31,250,32,150,1,0,0,0,0,400,33
Galva city,195,23,653,7,0,0,0,0,848,30,271,28,9596,11,0,0,0,0,9867,39
Springfield city,1769,185,788,5,0,0,0,0,2557,190,2022,212,1298,7,0,0,0,0,3320,219
East Peoria city,1146,143,336,2,0,0,0,0,1482,145,1259,155,4696,4,0,0,0,0,5955,159
Jacksonville city,411,41,1514,4,0,0,0,0,1925,45,454,46,1935,5,0,0,0,0,2389,51
Vernon Hills village,1203,159,2131,5,0,0,0,0,3334,164,1348,176,2170,6,0,0,0,0,3518,182
Wadsworth village,859,109,434,2,0,0,0,0,1293,111,954,118,434,2,0,0,0,0,1388,120
Wilmette village,531,79,0,0,0,0,0,0,531,79,609,91,0,0,0,0,0,0,609,91
Buffalo Grove village,1370,208,0,0,0,0,0,0,1370,208,1538,226,0,0,0,0,0,0,1538,226
St. Charles city,179,24,744,1,0,0,0,0,923,25,229,30,2744,2,0,0,0,0,2973,32
Beach Park village,908,142,0,0,0,0,0,0,908,142,1003,156,0,0,0,0,0,0,1003,156
Lemont village,305,41,300,1,0,0,0,0,605,42,392,51,300,1,0,0,0,0,692,52
Lincolnwood village,574,84,248,2,0,0,0,0,822,86,661,92,1137,3,0,0,0,0,1798,95
Arlington Heights village,1944,277,3365,6,0,0,1100,1,6409,284,2297,319,4081,7,0,0,0,0,6378,326
Skokie village,2687,411,265,3,0,0,0,0,2952,414,2969,451,2139,8,0,0,0,0,5108,459
Aurora city,7174,1162,1898,9,0,0,0,0,9072,1171,8485,1335,4377,11,0,0,0,0,12862,1346
Plainfield village,1912,259,532,3,0,0,0,0,2444,262,2171,289,532,3,0,0,0,0,2703,292
Oak Park village,2048,365,200,1,0,0,0,0,2248,366,2262,395,200,1,0,0,0,0,2462,396
Burr Ridge village,450,56,700,2,0,0,0,0,1150,58,535,63,1502,5,0,0,0,0,2037,68
Crestwood village,73,12,527,2,0,0,0,0,600,14,83,13,1200,2,0,0,0,0,1283,15
Fairview Heights city,366,46,0,0,0,0,0,0,366,46,493,60,0,0,0,0,0,0,493,60
Taylorville city,311,35,450,2,0,0,0,0,761,37,386,40,5172,3,0,0,0,0,5558,43
Chicago city,27189,4502,10690,48,0,0,11400,3,49279,4553,33521,5437,42951,89,0,0,0,0,76472,5526
Carol Stream village,1591,241,85,1,0,0,0,0,1676,242,1748,262,1540,4,0,0,0,0,3288,266
Forsyth village,148,15,0,0,0,0,0,0,148,15,188,20,0,0,0,0,0,0,188,20
Huntley village,950,144,1250,1,0,0,0,0,2200,145,1032,153,4000,2,0,0,0,0,5032,155
Godfrey village,901,88,165,3,0,0,0,0,1066,91,988,98,195,4,0,0,0,0,1183,102
Forest Park village,420,75,67,1,0,0,0,0,487,76,495,85,67,1,0,0,0,0,562,86
Kewanee city,176,13,451,6,0,0,0,0,627,19,228,17,454,6,0,0,0,0,682,23
New Lenox village,897,120,880,2,0,0,0,0,1777,122,1042,138,1680,4,0,0,0,0,2722,142
Mettawa village,309,29,99,1,0,0,0,0,408,30,360,33,4799,3,0,0,0,0,5159,36
Caseyville village,321,41,0,0,0,0,0,0,321,41,435,50,0,0,0,0,0,0,435,50
Algonquin village,1418,199,1980,2,0,0,1500,1,4898,202,1545,214,1980,2,0,0,0,0,3525,216
Gages Lake CDP,703,108,2580,2,0,0,0,0,3283,110,807,119,2580,2,0,0,0,0,3387,121
Paris city,321,31,931,2,0,0,0,0,1252,33,350,35,2963,4,0,0,0,0,3313,39
Herrin city,501,47,53,1,4000,2,4000,2,8554,52,588,55,4053,3,0,0,0,0,4641,58
Glenview village,1003,128,1500,1,0,0,0,0,2503,129,1139,142,2331,4,0,0,0,0,3470,146
