census_tract,dg_small_kw,dg_small_count,dg_large_kw,dg_large_count,cs_kw,cs_count,utility_kw,utility_count,total_kw,total_count,planned_dg_small_kw,planned_dg_small_count,planned_dg_large_kw,planned_dg_large_count,planned_cs_kw,planned_cs_count,planned_utility_kw,planned_utility_count,planned_total_kw,planned_total_count
17031800200,70,10,0,0,0,0,0,0,70,10,18,2,0,0,0,0,0,0,18,2
17119403701,758,65,37,1,4000,2,0,0,4795,68,125,12,0,0,0,0,0,0,125,12
17005951500,617,52,45,1,0,0,0,0,662,53,99,7,0,0,0,0,0,0,99,7
17119402804,225,21,0,0,0,0,0,0,225,21,40,3,28,1,0,0,0,0,68,4
17135957600,831,78,1088,5,0,0,0,0,1919,83,36,4,0,0,0,0,0,0,36,4
17171970700,201,22,0,0,0,0,0,0,201,22,16,3,0,0,0,0,0,0,16,3
17031818500,179,31,0,0,0,0,0,0,179,31,27,4,0,0,0,0,0,0,27,4
17095001600,368,31,515,6,2000,1,6000,3,8883,41,116,9,6000,3,0,0,0,0,6116,12
17117957000,544,52,117,2,0,0,0,0,661,54,77,8,0,0,0,0,0,0,77,8
17027900602,964,83,383,4,0,0,4000,2,5347,89,517,39,6000,3,0,0,0,0,6517,42
17073031000,643,57,1347,7,0,0,0,0,1990,64,105,10,50,1,0,0,0,0,155,11
17027900100,958,90,472,3,0,0,0,0,1430,93,434,28,2115,3,0,0,0,0,2549,31
17073030500,770,66,100,3,0,0,0,0,870,69,107,7,0,0,0,0,0,0,107,7
17117956800,421,38,0,0,0,0,0,0,421,38,28,3,0,0,0,0,0,0,28,3
17135957900,492,47,195,1,0,0,0,0,687,48,83,10,5000,1,0,0,0,0,5083,11
17167003603,709,67,0,0,0,0,0,0,709,67,69,7,0,0,0,0,0,0,69,7
17005951200,532,48,30,1,0,0,0,0,562,49,53,5,0,0,0,0,0,0,53,5
17031823803,136,22,0,0,0,0,0,0,136,22,69,10,1320,1,0,0,0,0,1389,11
17009970500,116,13,0,0,0,0,0,0,116,13,0,0,0,0,0,0,0,0,0,0
17009970400,269,28,0,0,0,0,0,0,269,28,24,3,0,0,0,0,0,0,24,3
17051950700,345,30,0,0,0,0,0,0,345,30,88,7,4000,1,0,0,0,0,4088,8
17097864901,125,14,0,0,0,0,0,0,125,14,0,0,0,0,0,0,0,0,0,0
17049950600,259,27,0,0,0,0,0,0,259,27,148,16,0,0,0,0,0,0,148,16
17143003404,1091,143,633,1,0,0,0,0,1724,144,165,20,46,1,0,0,0,0,211,21
17115000200,25,4,60,1,0,0,0,0,85,5,0,0,0,0,0,0,0,0,0,0
17173959400,142,15,0,0,0,0,0,0,142,15,19,3,0,0,0,0,0,0,19,3
17005951300,230,24,1415,4,0,0,0,0,1645,28,69,8,183,2,0,0,0,0,252,10
17027900403,162,16,72,2,0,0,0,0,234,18,15,1,0,0,0,0,0,0,15,1
17119403801,840,82,563,2,0,0,0,0,1403,84,54,7,5056,2,0,0,0,0,5110,9
17137951400,234,26,0,0,4000,2,4000,2,8234,30,114,13,0,0,0,0,0,0,114,13
