senate_district,legislator,party,date_assumed_office,dg_small_kw,dg_small_count,dg_large_kw,dg_large_count,cs_kw,cs_count,utility_kw,utility_count,total_kw,total_count
29,Julie Morrison,Democratic,2013,4173,538,5850,18,0,0,0,0,10023,556
55,Jason Plummer,Republican,"January 11, 2023",11949,1170,10211,73,11980,6,108800,6,142940,1255
50,Jil Tracy,Republican,"January 11, 2023",8952,912,12967,40,9750,5,41500,7,73169,964
54,Steve McClure,Republican,"January 11, 2023",11320,1154,7786,27,2000,1,3500,2,24606,1184
4,Kimberly Lightford,Democratic,1998,3910,653,1054,9,0,0,0,0,4964,662
47,Neil Anderson,Republican,"January 11, 2023",19524,1940,16644,148,10000,5,11400,6,57568,2099
48,Doris Turner,Democratic,"February 6, 2021",3974,413,3607,12,0,0,0,0,7581,425
18,Bill Cunningham,Democratic,2013,4422,685,549,4,0,0,0,0,4971,689
37,Win Stoller,Republican,"January 13, 2021",13067,1387,18480,90,29900,15,26500,15,87947,1507
57,Christopher Belt,Democratic,"January 9, 2019",7049,757,12725,31,0,0,11700,2,31474,790
56,Erica Harriss,Republican,"January 11, 2023",5412,622,5193,26,2000,1,2000,1,14605,650
32,Craig Wilcox,Republican,"October 1, 2018",13040,1778,7447,17,3950,2,4000,3,28437,1800
42,Linda Holmes,Democratic,2007,8800,1307,2734,7,0,0,0,0,11534,1314
44,Sally Turner,Republican,"January 25, 2021",12883,1310,11123,41,7800,5,74000,3,105806,1359
58,Terri Bryant,Republican,"January 13, 2021",7917,769,4692,29,2000,1,250000,3,264609,802
46,David Koehler,Democratic,2006,7147,848,4143,31,0,0,0,0,11290,879
30,Adriane Johnson,Democratic,"October 11, 2020",4853,758,2270,9,0,0,0,0,7123,767
51,Chapin Rose,Republican,2013,9304,947,17017,38,6000,3,371300,5,403621,993
31,Mary Edly-Allen,Democratic,"January 11, 2023",10914,1623,9936,20,0,0,0,0,20850,1643
9,Laura Fine,Democratic,"January 9, 2019",4770,723,1194,6,0,0,0,0,5964,729
33,Don DeWitte,Republican,"September 3, 2018",8981,1276,2753,9,900,1,0,0,12634,1286
52,Paul Faraci,Democratic,"January 11, 2023",7246,886,18745,28,2000,1,25800,9,53791,924
41,John Curran,Republican,2017,5820,807,3007,11,0,0,0,0,8827,818
8,Ram Villivalam,Democratic,"January 9, 2019",4752,765,527,6,0,0,0,0,5279,771
27,Ann Gillespie,Democratic,"January 9, 2019",4273,642,3365,6,0,0,1100,1,8738,649
49,Meg Loughran Cappel,Democratic,"December 10, 2020",17331,2439,3181,6,0,0,1900,1,22412,2446
26,Dan McConchie,Republican,2016,11325,1547,5207,12,0,0,0,0,16532,1559
39,Don Harmon,Democratic,2003,5321,905,3211,10,0,0,1900,1,10432,916
14,Emil Jones,Democratic,2009,5663,897,2893,7,0,0,9000,1,17556,905
25,Karina Villa,Democratic,"January 13, 2021",9895,1580,6431,16,0,0,2000,1,18326,1597
2,Omar Aquino,Democratic,2017,2037,325,849,4,0,0,0,0,2886,329
