census_tract,dg_small_kw,dg_small_count,dg_large_kw,dg_large_count,cs_kw,cs_count,utility_kw,utility_count,total_kw,total_count
17031800200,68,9,0,0,0,0,0,0,68,9
17119403701,497,47,0,0,0,0,0,0,497,47
17005951500,402,35,45,1,0,0,0,0,447,36
17119402804,160,14,0,0,0,0,0,0,160,14
17135957600,563,57,946,3,0,0,0,0,1509,60
17171970700,178,18,0,0,0,0,0,0,178,18
17031818500,162,24,0,0,0,0,0,0,162,24
17095001600,278,21,515,6,2000,1,2000,1,4793,29
17117957000,346,34,0,0,0,0,0,0,346,34
17027900602,478,44,244,3,0,0,0,0,722,47
17073031000,458,36,1298,6,0,0,0,0,1756,42
17027900100,601,59,440,2,0,0,0,0,1041,61
17073030500,603,53,100,3,0,0,0,0,703,56
17117956800,269,26,0,0,0,0,0,0,269,26
17135957900,292,28,195,1,0,0,0,0,487,29
17167003603,324,36,0,0,0,0,0,0,324,36
17005951200,457,42,30,1,0,0,0,0,487,43
17031823803,104,16,0,0,0,0,0,0,104,16
17009970500,44,5,0,0,0,0,0,0,44,5
17009970400,125,14,0,0,0,0,0,0,125,14
17051950700,249,23,0,0,0,0,0,0,249,23
17097864901,88,9,0,0,0,0,0,0,88,9
17049950600,108,11,0,0,0,0,0,0,108,11
17143003404,460,64,633,1,0,0,0,0,1093,65
17115000200,8,1,60,1,0,0,0,0,68,2
17173959400,113,12,0,0,0,0,0,0,113,12
17005951300,193,20,1430,4,0,0,0,0,1623,24
17027900403,149,13,72,2,0,0,0,0,221,15
17119403801,519,52,563,2,0,0,0,0,1082,54
17137951400,205,23,0,0,4000,2,4000,2,8205,27
17027900300,257,26,149,3,0,0,0,0,406,29
17163503908,219,26,4236,6,0,0,0,0,4455,32
17119403002,129,15,360,1,0,0,0,0,489,16
17167003902,248,24,0,0,0,0,0,0,248,24
17095000100,316,31,775,5,0,0,0,0,1091,36
17073031200,357,25,800,4,0,0,0,0,1157,29
17027900404,14,2,0,0,0,0,0,0,14,2
17111870903,43,7,0,0,0,0,0,0,43,7
17163503322,313,38,0,0,0,0,0,0,313,38
17073030800,153,15,1122,4,0,0,0,0,1275,19
17117956700,288,27,165,1,0,0,0,0,453,28
17117957100,188,20,480,1,0,0,0,0,668,21
17119403802,414,40,74,2,0,0,0,0,488,42
17167003601,190,18,0,0,0,0,0,0,190,18
17089852606,41,5,0,0,0,0,0,0,41,5
17137952200,118,13,0,0,4000,2,4000,2,8118,17
17119403531,197,21,1243,4,0,0,0,0,1440,25
17021958200,183,17,0,0,0,0,0,0,183,17
17049950400,144,15,0,0,0,0,0,0,144,15
17097864801,115,17,0,0,0,0,0,0,115,17
17083010402,130,14,0,0,0,0,0,0,130,14
17135957500,200,22,45,1,0,0,0,0,245,23
17147954800,154,14,575,5,0,0,0,0,729,19
17135958000,382,41,0,0,0,0,0,0,382,41
17011965600,381,37,145,2,0,0,0,0,526,39
17017960300,93,9,1995,1,0,0,0,0,2088,10
17073030600,153,12,96,1,0,0,0,0,249,13
17175951400,422,34,287,4,0,0,0,0,709,38
17175951500,375,23,168,3,0,0,0,0,543,26
17119401901,70,7,0,0,0,0,0,0,70,7
17121952300,111,13,0,0,0,0,0,0,111,13
17073031100,172,20,658,7,0,0,0,0,830,27
17115002402,73,9,805,2,0,0,0,0,878,11
17189950200,326,29,597,10,0,0,0,0,923,39
17157950500,78,9,0,0,0,0,0,0,78,9
17167001200,28,2,0,0,0,0,0,0,28,2
17179021203,195,23,86,1,0,0,0,0,281,24
17137951700,64,6,130,1,0,0,0,0,194,7
17133600502,296,25,0,0,0,0,0,0,296,25
17097863904,255,31,0,0,0,0,0,0,255,31
17167000100,72,8,200,1,0,0,0,0,272,9
17189950100,146,12,299,5,0,0,0,0,445,17
17019010902,186,18,445,3,0,0,0,0,631,21
17097861604,308,38,0,0,0,0,0,0,308,38
17117956900,228,23,200,1,0,0,0,0,428,24
17097866000,754,85,400,1,0,0,0,0,1154,86
17031800700,23,5,0,0,0,0,0,0,23,5
17097864516,186,26,0,0,0,0,0,0,186,26
17145030200,276,26,582,4,0,0,0,0,858,30
17089852204,20,2,0,0,0,0,0,0,20,2
17019000902,399,55,1841,2,0,0,1600,1,3840,58
17097861901,298,46,0,0,0,0,0,0,298,46
17143003700,465,47,35,1,2000,1,2000,1,4500,50
17031824003,100,13,0,0,0,0,0,0,100,13
17031808001,144,23,0,0,0,0,0,0,144,23
17111870906,607,70,2028,2,0,0,0,0,2635,72
17031803007,107,15,0,0,0,0,0,0,107,15
17167002001,122,12,0,0,0,0,0,0,122,12
17031806801,143,16,0,0,0,0,0,0,143,16
17089854001,298,38,0,0,0,0,0,0,298,38
17197880421,793,91,0,0,0,0,0,0,793,91
17081050300,169,17,30,1,0,0,0,0,199,18
17097864407,482,65,0,0,0,0,0,0,482,65
17031812900,184,34,0,0,0,0,0,0,184,34
17167003702,190,21,0,0,0,0,0,0,190,21
17097864520,276,35,0,0,0,0,0,0,276,35
17031812302,91,15,0,0,0,0,0,0,91,15
17043845401,81,9,0,0,0,0,0,0,81,9
17031824400,82,12,300,1,0,0,0,0,382,13
17163503413,161,19,0,0,0,0,0,0,161,19
17083010200,114,13,0,0,0,0,0,0,114,13
17021958300,111,13,100,1,0,0,0,0,211,14
17089852808,113,14,2000,1,0,0,2000,1,4113,16
17097864207,724,89,0,0,0,0,0,0,724,89
17031243100,36,6,0,0,0,0,0,0,36,6
17031160300,28,3,0,0,0,0,0,0,28,3
17167001400,32,2,0,0,0,0,0,0,32,2
17043841704,117,17,85,1,0,0,0,0,202,18
17115002901,78,8,0,0,0,0,0,0,78,8
17111870603,158,27,0,0,0,0,0,0,158,27
17089850704,157,30,0,0,0,0,0,0,157,30
17119402701,274,27,0,0,0,0,0,0,274,27
17057953100,160,18,396,1,0,0,0,0,556,19
17119402803,209,23,0,0,0,0,0,0,209,23
17185957200,112,10,34,1,0,0,0,0,146,11
17167003202,129,15,0,0,0,0,0,0,129,15
17203030602,690,58,731,6,0,0,0,0,1421,64
17031816100,220,37,67,1,0,0,0,0,287,38
17021959000,404,40,0,0,0,0,0,0,404,40
17073030900,169,12,451,6,0,0,0,0,620,18
17197881116,101,14,480,1,0,0,0,0,581,15
17075950200,36,4,0,0,0,0,0,0,36,4
17199020900,220,21,0,0,0,0,0,0,220,21
17119402801,244,18,0,0,0,0,0,0,244,18
17011964800,221,19,80,2,0,0,0,0,301,21
17143002300,65,7,130,1,0,0,0,0,195,8
17031170300,72,14,0,0,0,0,0,0,72,14
17203030300,340,27,0,0,0,0,0,0,340,27
17167003500,381,36,53,1,0,0,0,0,434,37
17117956200,157,15,0,0,2000,1,2000,1,4157,17
17113005102,435,46,0,0,0,0,0,0,435,46
17097866200,164,16,100,1,0,0,0,0,264,17
17163503412,156,19,0,0,0,0,0,0,156,19
17203030601,354,34,133,1,0,0,0,0,487,35
17043842601,93,12,0,0,0,0,0,0,93,12
17173959500,141,15,0,0,0,0,0,0,141,15
17111871404,149,20,0,0,0,0,0,0,149,20
17077010700,100,7,0,0,0,0,0,0,100,7
17125956700,149,13,0,0,0,0,0,0,149,13
17031420400,38,4,0,0,0,0,0,0,38,4
17043840901,125,15,1220,2,0,0,0,0,1345,17
17097861607,210,30,0,0,0,0,0,0,210,30
17163503903,295,29,0,0,0,0,0,0,295,29
17053961700,256,27,46,1,0,0,0,0,302,28
17179022400,139,14,0,0,0,0,0,0,139,14
17059972800,110,9,30,1,0,0,0,0,140,10
17045070400,125,12,885,1,0,0,0,0,1010,13
17199020400,32,4,0,0,0,0,0,0,32,4
17105960400,252,21,164,4,0,0,0,0,416,25
17057952900,220,21,453,3,2000,1,0,0,2673,25
17031812100,309,50,0,0,0,0,0,0,309,50
17015960100,626,66,156,3,0,0,0,0,782,69
17031801608,205,26,0,0,0,0,0,0,205,26
17179020500,98,12,0,0,0,0,0,0,98,12
17097861701,102,13,0,0,0,0,0,0,102,13
17017960200,122,11,30,1,0,0,0,0,152,12
17079977500,139,13,0,0,0,0,0,0,139,13
17025971900,63,6,0,0,0,0,0,0,63,6
17031030800,50,8,0,0,0,0,0,0,50,8
17195000600,198,21,640,5,4000,2,0,0,4838,28
17111871206,430,56,480,1,0,0,0,0,910,57
17043841109,93,16,0,0,0,0,0,0,93,16
17143003800,395,30,31,1,0,0,0,0,426,31
17097863701,128,14,90,1,0,0,0,0,218,15
17119402900,55,7,0,0,0,0,0,0,55,7
17067954300,445,44,260,2,0,0,0,0,705,46
17025972100,102,7,0,0,0,0,0,0,102,7
17097860105,521,66,0,0,0,0,0,0,521,66
17005951400,325,32,0,0,0,0,0,0,325,32
17027900401,179,16,0,0,4000,2,4000,2,8179,20
17089854507,381,46,0,0,0,0,0,0,381,46
17037000700,153,20,500,1,0,0,0,0,653,21
17107953600,236,22,0,0,0,0,0,0,236,22
17165955600,317,23,0,0,0,0,0,0,317,23
17031800100,32,5,0,0,0,0,0,0,32,5
17163503101,171,17,0,0,0,0,0,0,171,17
17095000400,138,13,910,2,0,0,0,0,1048,15
17143004000,264,25,750,1,0,0,2000,1,3014,27
17095000300,27,3,1013,2,0,0,0,0,1040,5
17097864410,287,41,0,0,0,0,0,0,287,41
17093890105,591,74,0,0,0,0,0,0,591,74
17097861106,451,69,2004,6,0,0,0,0,2455,75
17057953000,158,17,0,0,0,0,0,0,158,17
17097861012,185,24,0,0,0,0,0,0,185,24
17117956500,197,21,0,0,0,0,0,0,197,21
17021958100,158,17,48,1,0,0,0,0,206,18
17199021100,20,2,67,1,0,0,0,0,87,3
17097864519,163,22,0,0,0,0,0,0,163,22
17031801300,61,11,0,0,0,0,0,0,61,11
17071973400,105,9,273,2,0,0,1400,1,1778,12
17199021002,121,8,2226,6,0,0,0,0,2347,14
