Project Number,Approved Vendor (IPA),Group,Sub-Program,Project Size (AC kW),Project Size (DC kW) ,Address,City,State/Province,Zip/Postal Code,Census Tract,ICC Approval Date,Date of System Energization,REC Contract Buyer,Installation Type,REC Tracking System,REC Tracking Unit ID,Total Quantity of RECs Contracted,Total  REC Value ,Subject to Prevailing Wage Requirement,Financing Structure
P-1049 - PY2,Certasun LLC,B,1-4 Distributed Generation,5.76,5.89,,,IL,60619,17031834300,3/4/2020,7/24/2020,ComEd,Roof Mount,PJM-GATS,NON293179,114,"$16,312.26",,PPA
P-1058 - PY2,Certasun LLC,B,1-4 Distributed Generation,4.73,4.91,,,IL,60617,17031450300,3/4/2020,11/6/2020,ComEd,Roof Mount,PJM-GATS,NON311625,72,"$10,302.48",,PPA
P-1059 - PY2,Certasun LLC,B,1-4 Distributed Generation,4.42,4.58,,,IL,60643,17031750100,3/4/2020,5/13/2021,ComEd,Roof Mount,PJM-GATS,NON293177,82,"$11,733.38",,PPA
P-1061 - PY2,Certasun LLC,B,1-4 Distributed Generation,4.1,4.26,,,IL,60619,17031834300,3/4/2020,2/5/2021,ComEd,Roof Mount,PJM-GATS,NON293176,61,"$8,728.49",,PPA
P-1198 - PY2,Certasun LLC,B,1-4 Distributed Generation,9.6,9.81,,,IL,60649,17031834200,3/4/2020,6/30/2020,ComEd,Roof Mount,PJM-GATS,NON293172,154,"$22,035.86",,PPA
P-1350 - PY2,Certasun LLC,B,1-4 Distributed Generation,7.68,7.85,,,IL,60620,17031711200,3/4/2020,9/11/2020,ComEd,Roof Mount,PJM-GATS,NON293171,143,"$20,461.87",,PPA
P-1351 - PY2,Certasun LLC,B,1-4 Distributed Generation,6.08,6.21,,,IL,60620,17031711400,3/4/2020,8/28/2020,ComEd,Roof Mount,PJM-GATS,NON293175,122,"$17,456.98",,PPA
P-1370 - PY2,Certasun LLC,B,1-4 Distributed Generation,7.68,7.85,,,IL,60617,17031460500,3/4/2020,7/24/2020,ComEd,Roof Mount,PJM-GATS,NON311643,120,"$17,170.80",,PPA
P-2727 - PY3,Sunrun Installation Services Inc.,B,1-4 Distributed Generation,2.88,3.72,,,IL,60415,17031823002,3/18/2021,3/11/2021,ComEd,Roof Mount,PJM-GATS,NON328451,61,"$8,728.49",,Lease
P-2728 - PY3,Sunrun Installation Services Inc.,B,1-4 Distributed Generation,6.24,8.19,,,IL,60629,17031835000,1/20/2021,12/31/2020,ComEd,Roof Mount,PJM-GATS,NON321965,145,"$20,748.05",,Lease
P-2729 - PY3,Sunrun Installation Services Inc.,B,1-4 Distributed Generation,10.08,13.02,,,IL,60192,17031804403,1/20/2021,11/5/2020,ComEd,Roof Mount,PJM-GATS,NON314869,220,"$28,061.00",,Lease
P-2730 - PY3,Sunrun Installation Services Inc.,B,1-4 Distributed Generation,6.72,8.82,,,IL,60403,17197880903,2/18/2021,12/22/2020,ComEd,Roof Mount,PJM-GATS,NON319381,134,"$19,174.06",,Lease
P-2731 - PY3,Sunrun Installation Services Inc.,B,1-4 Distributed Generation,6.38,7.59,,,IL,60620,17031711500,1/20/2021,1/6/2021,ComEd,Roof Mount,PJM-GATS,NON325181,89,"$12,735.01",,Lease
P-2732 - PY3,Sunrun Installation Services Inc.,B,1-4 Distributed Generation,4.56,5.89,,,IL,60484,17197883605,1/20/2021,1/5/2021,ComEd,Roof Mount,PJM-GATS,NON321963,67,"$9,587.03",,Lease
P-2733 - PY3,Sunrun Installation Services Inc.,B,1-4 Distributed Generation,2.4,3.1,,,IL,60652,17031700100,1/20/2021,11/19/2020,ComEd,Roof Mount,PJM-GATS,NON314868,47,"$6,725.23",,Purchase
P-2734 - PY3,Sunrun Installation Services Inc.,B,1-4 Distributed Generation,3.6,4.65,,,IL,60649,17031431200,1/20/2021,1/4/2021,ComEd,Roof Mount,PJM-GATS,NON321964,67,"$9,587.03",,Lease
